time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
1,1,50,50.0,48,-50.0,0.0,,,,,,,,,
2,1,100,50.0,66,-50.0,0.0,,,,,,,,,
3,1,150,50.0,75,-50.0,0.0,,,,,,,,,
4,2,200,50.0,80,-50.0,0.0,,,,,,,,,
5,2,250,50.0,83,-50.0,0.0,,,,,,,,,
6,3,300,50.0,86,-50.0,0.0,,,,,,,,,
7,3,350,50.0,88,-50.0,0.0,,,,,,,,,
8,4,400,50.0,90,-50.0,0.0,,,,,,,,,
9,4,450,50.0,92,-50.0,0.0,,,,,,,,,
10,5,500,50.0,92,-50.0,0.0,,,,,,,,,
11,5,550,50.0,94,-50.0,0.0,,,,,,,,,
12,6,600,50.0,95,-50.0,0.0,,,,,,,,,
13,6,650,50.0,95,-50.0,0.0,,,,,,,,,
14,7,700,50.0,96,-50.0,0.0,,,,,,,,,
15,7,750,50.0,96,-50.0,0.0,,,,,,,,,
16,8,800,50.0,97,-50.0,0.0,,,,,,,,,
17,8,850,50.0,97,-50.0,0.0,,,,,,,,,
18,9,900,50.0,97,-50.0,0.0,,,,,,,,,
19,9,950,50.0,98,-50.0,0.0,,,,,,,,,
20,10,1000,50.0,98,-50.0,0.0,,,,,,,,,
21,10,1050,50.0,99,-50.0,0.0,,,,,,,,,
22,11,1100,50.0,99,-50.0,0.0,,,,,,,,,
23,11,1150,50.0,99,-50.0,0.0,,,,,,,,,
24,11,1200,50.0,100,-50.0,0.0,,,,,,,,,
25,12,1250,50.0,100,-50.0,0.0,,,,,,,,,
26,12,1300,50.0,100,-50.0,0.0,,,,,,,,,
27,13,1350,50.0,100,-50.0,0.0,,,,,,,,,
28,13,1400,50.0,100,-50.0,0.0,,,,,,,,,
29,14,1450,50.0,100,-50.0,0.0,,,,,,,,,
30,14,1500,50.0,100,-50.0,0.0,,,,,,,,,
31,15,1550,50.0,100,-50.0,0.0,,,,,,,,,
32,15,1600,50.0,100,-50.0,0.0,,,,,,,,,
33,16,1650,50.0,101,-50.0,0.0,,,,,,,,,
34,16,1700,50.0,101,-50.0,0.0,,,,,,,,,
35,17,1750,50.0,101,-50.0,0.0,,,,,,,,,
36,17,1800,50.0,101,-50.0,0.0,,,,,,,,,
37,18,1850,50.0,101,-50.0,0.0,,,,,,,,,
38,18,1900,50.0,101,-50.0,0.0,,,,,,,,,
