#{"t_start": 1751584258.553012, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,1.683777,False
-50.0,50,2.17348,False
-50.0,50,2.651846,False
-50.0,50,3.152776,False
-50.0,50,3.652199,False
-50.0,50,4.138569,False
-50.0,50,4.60418,False
-50.0,50,5.086767,False
-50.0,50,5.552845,False
-50.0,50,6.045963,False
-50.0,50,6.512837,False
-50.0,50,6.975164,False
-50.0,50,7.469216,False
-50.0,50,7.951514,False
-50.0,50,8.415931,False
-50.0,50,8.890307,False
-50.0,50,9.36189,False
-50.0,50,9.859487,False
-50.0,50,10.318661,False
-50.0,50,10.804903,False
-50.0,50,11.264794,False
-50.0,50,11.733089,False
-50.0,50,12.197031,False
-50.0,50,12.656759,False
-50.0,50,13.128251,False
-50.0,50,13.640646,False
-50.0,50,14.116144,False
-50.0,50,14.609493,False
-50.0,50,15.106711,False
-50.0,50,15.573494,False
-50.0,50,16.045004,False
-50.0,50,16.525772,False
-50.0,50,16.99638,False
-50.0,50,17.484606,False
-50.0,50,17.947017,False
-50.0,50,18.415165,False
-50.0,50,18.886197,False
-50.0,50,19.347839,False
-50.0,50,19.810946,False
-50.0,50,20.293932,False
-50.0,50,20.758252,False
-50.0,50,21.224179,False
-50.0,50,21.68328,False
-50.0,50,22.165972,False
-50.0,50,22.648032,False
-50.0,50,23.108712,False
-50.0,50,23.576606,False
-50.0,50,24.060561,False
-50.0,50,24.536135,False
-50.0,50,25.008349,False
-50.0,50,25.495802,False
-50.0,50,25.985424,False
-50.0,50,26.480196,False
-50.0,50,26.943491,False
-50.0,50,27.42454,False
-50.0,50,27.894431,False
-50.0,50,28.365004,False
-50.0,50,28.85255,False
-50.0,50,29.33821,False
-50.0,50,29.82896,False
-50.0,50,30.304182,False
-50.0,50,30.794213,False
-50.0,50,31.332514,False
-50.0,50,31.818918,False
-50.0,50,32.290255,False
-50.0,50,32.768592,False
-50.0,50,33.239674,False
-50.0,50,33.736063,False
-50.0,50,34.244049,False
-50.0,50,34.740994,False
-50.0,50,35.210795,False
-50.0,50,35.683497,False
-50.0,50,36.179553,False
-50.0,50,36.674579,False
-50.0,50,37.141882,False
-50.0,50,37.641627,False
-50.0,50,38.122555,False
-50.0,50,38.58809,False
-50.0,50,39.074407,False
-50.0,50,39.567324,False
-50.0,50,40.041204,False
-50.0,50,40.552351,False
-50.0,50,41.04725,False
-50.0,50,41.553113,False
-50.0,50,42.022969,False
-50.0,50,42.498389,False
-50.0,50,42.996536,False
-50.0,50,43.471173,False
-50.0,50,43.943139,False
-50.0,50,44.414601,False
-50.0,50,44.906425,False
-50.0,50,45.380097,False
-50.0,50,45.891131,False
-50.0,50,46.381371,False
-50.0,50,46.846948,False
-50.0,50,47.320898,False
-50.0,50,47.811495,False
-50.0,50,48.307822,False
-50.0,50,48.78286,False
-50.0,50,49.279213,False
-50.0,50,98.966936,False
-50.0,50,99.458089,False
-50.0,50,99.93027,False
-50.0,50,100.405881,False
-50.0,50,100.879031,False
-50.0,50,101.364747,False
-50.0,50,101.845112,False
0.0,50,102.314728,True
-50.0,50,102.793807,False
-50.0,50,103.281438,False
-50.0,50,103.752808,False
-50.0,50,104.219848,False
-50.0,50,104.707245,False
-50.0,50,105.191855,False
-50.0,50,105.678742,False
-50.0,50,106.168391,False
-50.0,50,106.632464,False
-50.0,50,107.096563,False
-50.0,50,107.58989,False
-50.0,50,108.077022,False
-50.0,50,108.561584,False
-50.0,50,109.046593,False
-50.0,50,109.526167,False
-50.0,50,109.995641,False
-50.0,50,110.486131,False
-50.0,50,110.969237,False
-50.0,50,111.439662,False
-50.0,50,111.932151,False
-50.0,50,112.400152,False
-50.0,50,112.893219,False
-24.0,50,113.366632,True
-50.0,50,113.847167,False
-50.0,50,114.315264,False
-50.0,50,114.787474,False
-50.0,50,115.252801,False
-50.0,50,115.735833,False
-50.0,50,116.223669,False
-50.0,50,116.694,False
-50.0,50,117.180781,False
-50.0,50,117.648404,False
-50.0,50,118.136318,False
-50.0,50,118.608437,False
-50.0,50,119.074096,False
-50.0,50,119.560652,False
-50.0,50,120.040123,False
-50.0,50,120.522452,False
-50.0,50,120.987377,False
-50.0,50,121.480111,False
-50.0,50,121.973358,False
-50.0,50,122.446074,False
-50.0,50,122.931892,False
-50.0,50,123.412457,False
-50.0,50,123.901286,False
-50.0,50,124.390599,False
-50.0,50,124.89051,False
-50.0,50,125.383824,False
-50.0,50,125.874432,False
