time/time_elapsed,time/episodes,rollout/success_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
1,1,0.0,49,50,-50.0,50.0,,,,,,,,,
1,2,0.0,66,100,-50.0,50.0,,,,,,,,,
1,3,0.0,75,150,-50.0,50.0,,,,,,,,,
2,4,0.0,81,200,-50.0,50.0,,,,,,,,,
2,5,0.0,85,250,-50.0,50.0,,,,,,,,,
3,6,0.0,87,300,-50.0,50.0,,,,,,,,,
3,7,0.0,89,350,-50.0,50.0,,,,,,,,,
4,8,0.0,91,400,-50.0,50.0,,,,,,,,,
4,9,0.0,92,450,-50.0,50.0,,,,,,,,,
5,10,0.0,93,500,-50.0,50.0,,,,,,,,,
5,11,0.0,94,550,-50.0,50.0,,,,,,,,,
6,12,0.0,94,600,-50.0,50.0,,,,,,,,,
6,13,0.0,95,650,-50.0,50.0,,,,,,,,,
7,14,0.0,96,700,-50.0,50.0,,,,,,,,,
7,15,0.0,96,750,-50.0,50.0,,,,,,,,,
8,16,0.0,97,800,-50.0,50.0,,,,,,,,,
8,17,0.0,97,850,-50.0,50.0,,,,,,,,,
9,18,0.0,97,900,-50.0,50.0,,,,,,,,,
9,19,0.0,98,950,-50.0,50.0,,,,,,,,,
10,20,0.0,98,1000,-50.0,50.0,,,,,,,,,
10,21,0.0,98,1050,-50.0,50.0,,,,,,,,,
11,22,0.0,99,1100,-50.0,50.0,,,,,,,,,
11,23,0.0,99,1150,-50.0,50.0,,,,,,,,,
12,24,0.0,99,1200,-50.0,50.0,,,,,,,,,
12,25,0.0,99,1250,-50.0,50.0,,,,,,,,,
12,26,0.0,100,1300,-50.0,50.0,,,,,,,,,
13,27,0.0,100,1350,-50.0,50.0,,,,,,,,,
13,28,0.0,100,1400,-50.0,50.0,,,,,,,,,
14,29,0.0,100,1450,-50.0,50.0,,,,,,,,,
14,30,0.0,101,1500,-50.0,50.0,,,,,,,,,
15,31,0.0,101,1550,-50.0,50.0,,,,,,,,,
15,32,0.0,101,1600,-50.0,50.0,,,,,,,,,
16,33,0.0,101,1650,-50.0,50.0,,,,,,,,,
16,34,0.0,101,1700,-50.0,50.0,,,,,,,,,
17,35,0.0,101,1750,-50.0,50.0,,,,,,,,,
17,36,0.0,101,1800,-50.0,50.0,,,,,,,,,
18,37,0.0,101,1850,-50.0,50.0,,,,,,,,,
18,38,0.0,101,1900,-50.0,50.0,,,,,,,,,
19,39,0.0,101,1950,-50.0,50.0,,,,,,,,,
19,40,0.0,101,2000,-50.0,50.0,,,,,,,,,
20,41,0.0,101,2050,-50.0,50.0,,,,,,,,,
20,42,0.0,101,2100,-50.0,50.0,,,,,,,,,
21,43,0.0,102,2150,-50.0,50.0,,,,,,,,,
21,44,0.0,102,2200,-50.0,50.0,,,,,,,,,
22,45,0.0,102,2250,-50.0,50.0,,,,,,,,,
22,46,0.0,102,2300,-50.0,50.0,,,,,,,,,
22,47,0.0,102,2350,-50.0,50.0,,,,,,,,,
23,48,0.0,102,2400,-50.0,50.0,,,,,,,,,
23,49,0.0,102,2450,-50.0,50.0,,,,,,,,,
24,50,0.0,102,2500,-50.0,50.0,,,,,,,,,
24,51,0.0,102,2550,-50.0,50.0,,,,,,,,,
25,52,0.0,102,2600,-50.0,50.0,,,,,,,,,
