#{"t_start": 1751544158.1495821, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,1.629583,False
-50.0,50,2.114194,False
-50.0,50,2.614871,False
-50.0,50,3.079657,False
-50.0,50,3.561591,False
-50.0,50,4.047957,False
-50.0,50,4.53671,False
-50.0,50,5.001703,False
-50.0,50,5.482361,False
-50.0,50,5.970275,False
-50.0,50,6.458308,False
-50.0,50,6.948135,False
-50.0,50,7.441444,False
-50.0,50,7.905471,False
-50.0,50,8.378894,False
-50.0,50,8.861995,False
-50.0,50,9.33614,False
-50.0,50,9.812602,False
-50.0,50,10.301785,False
-50.0,50,10.766599,False
-50.0,50,11.232858,False
-50.0,50,11.710103,False
-50.0,50,12.188362,False
-50.0,50,12.652494,False
-50.0,50,13.12697,False
-50.0,50,13.592224,False
-50.0,50,14.077775,False
-50.0,50,14.537832,False
-50.0,50,14.999191,False
-50.0,50,15.469058,False
-50.0,50,15.953346,False
-50.0,50,16.447255,False
-50.0,50,16.922976,False
-50.0,50,17.394412,False
-50.0,50,17.877335,False
-50.0,50,18.36918,False
-50.0,50,18.848188,False
-50.0,50,19.336492,False
-50.0,50,19.81388,False
-50.0,50,20.280859,False
-50.0,50,20.760105,False
-50.0,50,21.225878,False
-50.0,50,21.688326,False
-50.0,50,22.17511,False
-50.0,50,22.665003,False
-50.0,50,23.135206,False
-50.0,50,23.622077,False
-50.0,50,24.110569,False
-50.0,50,24.600537,False
-50.0,50,25.082031,False
-50.0,50,25.543364,False
-50.0,50,26.030245,False
-50.0,50,26.497725,False
-50.0,50,26.979834,False
-50.0,50,27.449331,False
-50.0,50,27.936764,False
-50.0,50,28.421474,False
-50.0,50,28.898636,False
-50.0,50,29.379471,False
-50.0,50,29.865756,False
-50.0,50,30.352986,False
-50.0,50,30.83665,False
-50.0,50,31.300458,False
-50.0,50,31.763587,False
-50.0,50,32.226448,False
-50.0,50,32.724557,False
-50.0,50,33.20482,False
-50.0,50,33.670734,False
-50.0,50,34.160234,False
-50.0,50,34.641978,False
-50.0,50,35.127412,False
-50.0,50,35.591425,False
-50.0,50,36.062183,False
-50.0,50,36.549221,False
-50.0,50,37.014234,False
