time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
1,50,0,50.0,-50.0,0.0,50,,,,,,,,,
2,67,1,50.0,-50.0,0.0,100,,,,,,,,,
3,76,1,50.0,-50.0,0.0,150,,,,,,,,,
4,82,2,50.0,-50.0,0.0,200,,,,,,,,,
5,85,2,50.0,-50.0,0.0,250,,,,,,,,,
6,88,3,50.0,-50.0,0.0,300,,,,,,,,,
7,90,3,50.0,-50.0,0.0,350,,,,,,,,,
8,92,4,50.0,-50.0,0.0,400,,,,,,,,,
9,93,4,50.0,-50.0,0.0,450,,,,,,,,,
10,94,5,50.0,-50.0,0.0,500,,,,,,,,,
11,95,5,50.0,-50.0,0.0,550,,,,,,,,,
12,95,6,50.0,-50.0,0.0,600,,,,,,,,,
13,96,6,50.0,-50.0,0.0,650,,,,,,,,,
14,97,7,50.0,-50.0,0.0,700,,,,,,,,,
15,97,7,50.0,-50.0,0.0,750,,,,,,,,,
16,98,8,50.0,-50.0,0.0,800,,,,,,,,,
17,98,8,50.0,-50.0,0.0,850,,,,,,,,,
18,99,9,50.0,-50.0,0.0,900,,,,,,,,,
19,99,9,50.0,-50.0,0.0,950,,,,,,,,,
20,99,10,50.0,-50.0,0.0,1000,,,,,,,,,
21,100,10,50.0,-50.0,0.0,1050,,,,,,,,,
22,100,10,50.0,-50.0,0.0,1100,,,,,,,,,
23,100,11,50.0,-50.0,0.0,1150,,,,,,,,,
24,100,11,50.0,-50.0,0.0,1200,,,,,,,,,
25,101,12,50.0,-50.0,0.0,1250,,,,,,,,,
26,101,12,50.0,-50.0,0.0,1300,,,,,,,,,
27,101,13,50.0,-50.0,0.0,1350,,,,,,,,,
28,101,13,50.0,-50.0,0.0,1400,,,,,,,,,
29,101,14,50.0,-50.0,0.0,1450,,,,,,,,,
30,102,14,50.0,-50.0,0.0,1500,,,,,,,,,
31,102,15,50.0,-50.0,0.0,1550,,,,,,,,,
32,102,15,50.0,-50.0,0.0,1600,,,,,,,,,
33,102,16,50.0,-50.0,0.0,1650,,,,,,,,,
34,102,16,50.0,-50.0,0.0,1700,,,,,,,,,
35,102,17,50.0,-50.0,0.0,1750,,,,,,,,,
36,102,17,50.0,-50.0,0.0,1800,,,,,,,,,
37,102,18,50.0,-50.0,0.0,1850,,,,,,,,,
38,102,18,50.0,-50.0,0.0,1900,,,,,,,,,
39,102,19,50.0,-50.0,0.0,1950,,,,,,,,,
40,102,19,50.0,-50.0,0.0,2000,,,,,,,,,
41,102,20,50.0,-50.0,0.0,2050,,,,,,,,,
42,102,20,50.0,-50.0,0.0,2100,,,,,,,,,
43,102,20,50.0,-50.0,0.0,2150,,,,,,,,,
44,102,21,50.0,-50.0,0.0,2200,,,,,,,,,
45,102,21,50.0,-50.0,0.0,2250,,,,,,,,,
46,102,22,50.0,-50.0,0.0,2300,,,,,,,,,
47,102,22,50.0,-50.0,0.0,2350,,,,,,,,,
48,102,23,50.0,-50.0,0.0,2400,,,,,,,,,
49,102,23,50.0,-50.0,0.0,2450,,,,,,,,,
50,102,24,50.0,-50.0,0.0,2500,,,,,,,,,
51,102,24,50.0,-50.0,0.0,2550,,,,,,,,,
52,102,25,50.0,-50.0,0.0,2600,,,,,,,,,
53,103,25,50.0,-50.0,0.0,2650,,,,,,,,,
54,103,26,50.0,-50.0,0.0,2700,,,,,,,,,
55,103,26,50.0,-50.0,0.0,2750,,,,,,,,,
56,103,27,50.0,-50.0,0.0,2800,,,,,,,,,
57,103,27,50.0,-50.0,0.0,2850,,,,,,,,,
58,103,28,50.0,-50.0,0.0,2900,,,,,,,,,
59,103,28,50.0,-50.0,0.0,2950,,,,,,,,,
60,103,29,50.0,-50.0,0.0,3000,,,,,,,,,
61,103,29,50.0,-50.0,0.0,3050,,,,,,,,,
62,103,30,50.0,-50.0,0.0,3100,,,,,,,,,
63,103,30,50.0,-50.0,0.0,3150,,,,,,,,,
64,103,30,50.0,-50.0,0.0,3200,,,,,,,,,
65,103,31,50.0,-50.0,0.0,3250,,,,,,,,,
66,103,31,50.0,-50.0,0.0,3300,,,,,,,,,
67,103,32,50.0,-50.0,0.0,3350,,,,,,,,,
68,103,32,50.0,-50.0,0.0,3400,,,,,,,,,
