rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
50.0,46,1,50,-50.0,0.0,1,,,,,,,,,
50.0,63,2,100,-50.0,0.0,1,,,,,,,,,
50.0,73,3,150,-50.0,0.0,2,,,,,,,,,
50.0,78,4,200,-50.0,0.0,2,,,,,,,,,
50.0,82,5,250,-50.0,0.0,3,,,,,,,,,
50.0,85,6,300,-50.0,0.0,3,,,,,,,,,
50.0,87,7,350,-50.0,0.0,3,,,,,,,,,
50.0,89,8,400,-50.0,0.0,4,,,,,,,,,
50.0,91,9,450,-50.0,0.0,4,,,,,,,,,
50.0,92,10,500,-50.0,0.0,5,,,,,,,,,
50.0,93,11,550,-50.0,0.0,5,,,,,,,,,
50.0,94,12,600,-50.0,0.0,6,,,,,,,,,
50.0,94,13,650,-50.0,0.0,6,,,,,,,,,
50.0,95,14,700,-50.0,0.0,7,,,,,,,,,
50.0,96,15,750,-50.0,0.0,7,,,,,,,,,
50.0,96,16,800,-50.0,0.0,8,,,,,,,,,
50.0,97,17,850,-50.0,0.0,8,,,,,,,,,
50.0,97,18,900,-50.0,0.0,9,,,,,,,,,
50.0,97,19,950,-50.0,0.0,9,,,,,,,,,
50.0,98,20,1000,-50.0,0.0,10,,,,,,,,,
50.0,98,21,1050,-50.0,0.0,10,,,,,,,,,
50.0,98,22,1100,-50.0,0.0,11,,,,,,,,,
50.0,99,23,1150,-50.0,0.0,11,,,,,,,,,
50.0,99,24,1200,-50.0,0.0,12,,,,,,,,,
50.0,99,25,1250,-50.0,0.0,12,,,,,,,,,
50.0,99,26,1300,-50.0,0.0,13,,,,,,,,,
50.0,100,27,1350,-50.0,0.0,13,,,,,,,,,
50.0,100,28,1400,-50.0,0.0,13,,,,,,,,,
50.0,99,29,1450,-50.0,0.0,14,,,,,,,,,
50.0,100,30,1500,-50.0,0.0,14,,,,,,,,,
50.0,100,31,1550,-50.0,0.0,15,,,,,,,,,
50.0,100,32,1600,-50.0,0.0,15,,,,,,,,,
50.0,100,33,1650,-50.0,0.0,16,,,,,,,,,
50.0,100,34,1700,-50.0,0.0,16,,,,,,,,,
50.0,100,35,1750,-50.0,0.0,17,,,,,,,,,
50.0,100,36,1800,-50.0,0.0,17,,,,,,,,,
50.0,100,37,1850,-50.0,0.0,18,,,,,,,,,
50.0,100,38,1900,-50.0,0.0,18,,,,,,,,,
50.0,101,39,1950,-50.0,0.0,19,,,,,,,,,
50.0,101,40,2000,-50.0,0.0,19,,,,,,,,,
50.0,101,41,2050,-50.0,0.0,20,,,,,,,,,
50.0,101,42,2100,-50.0,0.0,20,,,,,,,,,
50.0,101,43,2150,-50.0,0.0,21,,,,,,,,,
50.0,101,44,2200,-50.0,0.0,21,,,,,,,,,
50.0,101,45,2250,-50.0,0.0,22,,,,,,,,,
50.0,101,46,2300,-50.0,0.0,22,,,,,,,,,
50.0,101,47,2350,-50.0,0.0,23,,,,,,,,,
50.0,101,48,2400,-50.0,0.0,23,,,,,,,,,
50.0,101,49,2450,-50.0,0.0,24,,,,,,,,,
50.0,101,50,2500,-50.0,0.0,24,,,,,,,,,
50.0,101,51,2550,-50.0,0.0,25,,,,,,,,,
50.0,101,52,2600,-50.0,0.0,25,,,,,,,,,
50.0,101,53,2650,-50.0,0.0,26,,,,,,,,,
50.0,101,54,2700,-50.0,0.0,26,,,,,,,,,
50.0,102,55,2750,-50.0,0.0,26,,,,,,,,,
50.0,102,56,2800,-50.0,0.0,27,,,,,,,,,
