#{"t_start": 1751570594.9563727, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,1.715368,False
-50.0,50,2.213069,False
-50.0,50,2.689526,False
-50.0,50,3.189796,False
-50.0,50,3.66673,False
-50.0,50,4.154074,False
-50.0,50,4.624851,False
-50.0,50,5.104863,False
-50.0,50,5.574117,False
-50.0,50,6.073998,False
-50.0,50,6.53886,False
-50.0,50,6.999926,False
-50.0,50,7.492002,False
-50.0,50,7.98293,False
-50.0,50,8.450184,False
-50.0,50,8.913596,False
-50.0,50,9.382959,False
-50.0,50,9.875454,False
-50.0,50,10.350132,False
-50.0,50,10.838912,False
-50.0,50,11.307983,False
-50.0,50,11.774419,False
-50.0,50,12.247357,False
-50.0,50,12.709805,False
-50.0,50,13.175568,False
-50.0,50,13.669957,False
-50.0,50,14.134373,False
-50.0,50,14.629625,False
-50.0,50,15.153057,False
-50.0,50,15.630151,False
-50.0,50,16.119094,False
-50.0,50,16.612039,False
-50.0,50,17.083685,False
-50.0,50,17.598516,False
-50.0,50,18.070111,False
-50.0,50,18.540889,False
-50.0,50,19.018587,False
-50.0,50,19.484663,False
-50.0,50,19.947929,False
-50.0,50,20.43427,False
-50.0,50,20.902735,False
-50.0,50,21.373892,False
-50.0,50,21.839044,False
-50.0,50,22.340245,False
-50.0,50,22.825418,False
-50.0,50,23.293361,False
-50.0,50,23.757742,False
-50.0,50,24.237198,False
-50.0,50,24.703507,False
-50.0,50,25.176588,False
-50.0,50,25.665135,False
-50.0,50,26.152691,False
-50.0,50,26.64373,False
-50.0,50,27.115691,False
-50.0,50,27.588625,False
-50.0,50,28.055882,False
-50.0,50,28.526171,False
-50.0,50,29.0125,False
-50.0,50,29.497372,False
-50.0,50,29.987087,False
-50.0,50,30.460071,False
-50.0,50,30.958799,False
-50.0,50,31.438942,False
-50.0,50,31.916308,False
-50.0,50,32.39133,False
-50.0,50,32.859378,False
-50.0,50,33.321406,False
-50.0,50,33.809331,False
-50.0,50,34.297612,False
-50.0,50,34.79181,False
-50.0,50,35.260827,False
-50.0,50,35.73498,False
-50.0,50,36.238146,False
-50.0,50,36.727891,False
-50.0,50,37.213916,False
-50.0,50,37.699201,False
-50.0,50,38.181687,False
-50.0,50,38.643942,False
-50.0,50,39.132945,False
-50.0,50,39.618955,False
-50.0,50,40.090333,False
-50.0,50,40.588418,False
-50.0,50,41.079304,False
-50.0,50,41.58936,False
-50.0,50,42.056659,False
-50.0,50,42.526936,False
-50.0,50,43.020959,False
-50.0,50,43.486911,False
-50.0,50,43.949852,False
-50.0,50,44.434072,False
-50.0,50,44.921538,False
-50.0,50,45.393863,False
-50.0,50,45.862226,False
-50.0,50,46.346671,False
-50.0,50,46.807327,False
-50.0,50,47.275257,False
-50.0,50,47.765593,False
-50.0,50,48.264266,False
-50.0,50,48.736639,False
-50.0,50,49.219261,False
-50.0,50,98.652436,False
-50.0,50,99.141106,False
-50.0,50,99.609539,False
-50.0,50,100.083886,False
-50.0,50,100.558991,False
-50.0,50,101.048728,False
-50.0,50,101.548966,False
0.0,50,102.018036,True
-50.0,50,102.501501,False
-50.0,50,102.986294,False
-50.0,50,103.453441,False
-50.0,50,103.919613,False
-50.0,50,104.411947,False
-50.0,50,104.893657,False
-50.0,50,105.380687,False
-50.0,50,105.870371,False
-50.0,50,106.337839,False
-50.0,50,106.802222,False
-50.0,50,107.302131,False
-50.0,50,107.787627,False
-50.0,50,108.269783,False
-50.0,50,108.748926,False
-50.0,50,109.221001,False
-50.0,50,109.690129,False
-50.0,50,110.180864,False
-50.0,50,110.677784,False
-50.0,50,111.140363,False
-50.0,50,111.617986,False
-50.0,50,112.082427,False
-50.0,50,112.567128,False
-24.0,50,113.038407,True
-50.0,50,113.511182,False
-50.0,50,113.986756,False
-50.0,50,114.463538,False
-50.0,50,114.931437,False
-50.0,50,115.413957,False
-50.0,50,115.898884,False
-50.0,50,116.36321,False
-50.0,50,116.848653,False
-50.0,50,117.309608,False
-50.0,50,117.801908,False
-50.0,50,118.282149,False
-50.0,50,118.753489,False
-50.0,50,119.242216,False
-50.0,50,119.725018,False
-50.0,50,120.203173,False
-50.0,50,120.667005,False
-50.0,50,121.160501,False
-50.0,50,121.653288,False
-50.0,50,122.137937,False
-50.0,50,122.61921,False
-50.0,50,123.102741,False
-50.0,50,123.590039,False
-50.0,50,124.086864,False
-50.0,50,124.565119,False
-50.0,50,125.05253,False
-50.0,50,125.539229,False
-50.0,50,125.998324,False
-50.0,50,126.494794,False
-50.0,50,126.962958,False
-50.0,50,127.433059,False
-50.0,50,127.921161,False
-50.0,50,128.403398,False
-50.0,50,128.908955,False
-50.0,50,129.378398,False
-50.0,50,129.858083,False
-50.0,50,130.321339,False
-50.0,50,130.785756,False
-50.0,50,131.270859,False
-50.0,50,131.740261,False
-50.0,50,132.229004,False
-50.0,50,132.712716,False
-50.0,50,133.197953,False
-50.0,50,133.663815,False
-50.0,50,134.138905,False
-50.0,50,134.618493,False
-50.0,50,135.082499,False
-50.0,50,135.556785,False
-50.0,50,136.038511,False
-50.0,50,136.516456,False
-50.0,50,137.002172,False
-50.0,50,137.465332,False
-50.0,50,137.954653,False
-50.0,50,138.430498,False
-50.0,50,138.903938,False
-50.0,50,139.389926,False
-50.0,50,139.854755,False
-50.0,50,140.317524,False
-50.0,50,140.811913,False
-50.0,50,141.274034,False
-50.0,50,141.764547,False
-50.0,50,142.259449,False
-50.0,50,142.729555,False
-50.0,50,143.228188,False
-50.0,50,143.714685,False
-50.0,50,144.195599,False
-50.0,50,144.682789,False
-50.0,50,145.170807,False
-50.0,50,145.640095,False
-50.0,50,146.122995,False
-50.0,50,195.978085,False
-50.0,50,196.757297,False
-50.0,50,197.534294,False
-50.0,50,198.347753,False
-50.0,50,199.158953,False
-50.0,50,199.946937,False
-50.0,50,200.75678,False
-50.0,50,201.530346,False
-50.0,50,202.294586,False
-50.0,50,203.086551,False
-50.0,50,203.872318,False
-50.0,50,204.66307,False
-50.0,50,205.458294,False
-50.0,50,206.253929,False
-50.0,50,207.03196,False
-50.0,50,207.818588,False
-50.0,50,208.579791,False
-50.0,50,209.361735,False
-50.0,50,210.128834,False
-50.0,50,210.90392,False
-50.0,50,211.698358,False
-50.0,50,212.464294,False
-50.0,50,213.250007,False
-50.0,50,214.035641,False
-50.0,50,214.830303,False
-50.0,50,215.627271,False
-50.0,50,216.404793,False
-50.0,50,217.208596,False
-50.0,50,217.983581,False
-50.0,50,218.786844,False
-50.0,50,219.556446,False
-50.0,50,220.35985,False
-50.0,50,221.142664,False
-50.0,50,221.935277,False
-50.0,50,222.722701,False
-50.0,50,223.494167,False
-50.0,50,224.280978,False
-50.0,50,225.06163,False
-50.0,50,225.844435,False
-50.0,50,226.647249,False
-50.0,50,227.449898,False
-50.0,50,228.23825,False
-50.0,50,229.061218,False
-50.0,50,229.858035,False
